date,icu_used_pct,nonicu_used_pct,covid_pct_icu,covid_pct_nonicu,inuse_icu_non_covid,inuse_icu_covid,inuse_non_icu_covid,inuse_non_icu_non_covid,inuse_beds_surge,inuse_non_icu_na,inuse_icu_na,inuse_vents,avail_beds,avail_non_icu,avail_icu,avail_vents,surge_beds,surge_ventilators
2020-07-25,0.8022875816993464,0.7596738708425004,0.07535641547861507,0.03100511073253833,908,74,182,5688,0,6509,1041,442,943,7727,1224,957,943,1520
2020-07-26,0.8129084967320261,0.7397437556619645,0.06030150753768844,0.03813855843247026,935,60,218,5498,0,6481,1022,426,943,7727,1224,973,943,1520
2020-07-27,0.7589869281045751,0.7528148052284198,0.08180839612486544,0.03335052432525357,853,76,194,5623,0,6489,1043,419,943,7727,1224,980,943,1520
2020-07-28,0.8055555555555556,0.807816746473405,0.08316430020283976,0.031079782121115028,904,82,194,6048,0,6639,1064,414,943,7727,1224,985,943,1520
2020-07-29,0.8276143790849673,0.8186877183900608,0.08884501480750247,0.027189377173569396,923,90,172,6154,0,6686,1040,431,943,7727,1224,968,943,1520
2020-07-30,0.9142156862745098,0.8531694695989651,0.0840035746201966,0.030477634571645186,1025,94,201,6394,0,6642,1034,426,956,7730,1224,973,956,1520
2020-07-31,0.8995098039215687,0.8580853816300129,0.08810172570390554,0.0337705412332278,1004,97,224,6409,0,6626,1043,439,956,7730,1224,960,956,1520
2020-08-01,0.8766339869281046,0.7653298835705046,0.05964585274930102,0.021467207572684246,1009,64,127,5789,0,6519,1026,458,956,7730,1224,941,956,1520
2020-08-02,0.8774509803921569,0.7910737386804657,0.05772811918063315,0.023385118560915782,1012,62,143,5972,0,6489,1012,420,956,7730,1224,979,956,1520
2020-08-03,0.8202614379084967,0.7825355756791721,0.07868525896414343,0.03174078360059514,925,79,192,5857,0,6547,1020,401,956,7730,1224,998,956,1520
2020-08-04,0.8676470588235294,0.8429495472186287,0.08662900188323917,0.029772866789441375,970,92,194,6322,0,6616,1031,395,956,7730,1224,1004,956,1520
2020-08-05,0.8715220949263502,0.8523932729624838,0.08450704225352113,0.029139474882379723,975,90,192,6397,0,6653,1034,402,960,7730,1222,999,960,1520
2020-08-06,0.8797054009819967,0.8677878395860285,0.08651162790697674,0.029367918902802624,982,93,197,6511,0,6668,1033,393,960,7730,1222,1008,960,1520
2020-08-07,0.8486088379705401,0.8650711513583441,0.08293153326904533,0.029310602661881263,951,86,196,6491,0,6652,1027,368,960,7730,1222,1033,960,1520
2020-08-08,0.8592471358428805,0.8072445019404916,0.08095238095238096,0.032692307692307694,965,85,204,6036,0,6537,1027,372,960,7730,1222,1029,960,1520
2020-08-09,0.8297697368421053,0.78105126541207,0.08919722497522299,0.03173811897640412,919,90,191,5827,0,6498,1012,377,960,7705,1216,1017,960,1500
2020-08-10,0.7557565789473685,0.7831278390655418,0.08378672470076169,0.029499502817368246,842,77,178,5856,0,6515,1017,402,960,7705,1216,992,960,1500
2020-08-11,0.8379705400981997,0.8690815006468305,0.08984375,0.029324203632033342,932,92,197,6521,0,6640,1025,365,960,7730,1222,1036,960,1520
2020-08-12,0.8592471358428805,0.8972833117723157,0.08761904761904762,0.02494232987312572,958,92,173,6763,0,6700,1045,354,960,7730,1222,1047,960,1520
2020-08-13,0.8461538461538461,0.8932729624838293,0.08413926499032882,0.024764663287472847,947,87,171,6734,0,6740,1045,411,960,7730,1222,990,960,1520
2020-08-14,0.8248772504091653,0.8793014230271669,0.08630952380952381,0.022804178313962042,921,87,155,6642,0,6703,1037,428,960,7730,1222,973,960,1520
2020-08-15,0.8420621931260229,0.8366106080206985,0.08843537414965986,0.02195763104994588,938,91,142,6325,0,6574,1025,425,960,7730,1222,976,960,1520
2020-08-16,0.7332242225859247,0.7451487710219923,0.08705357142857142,0.025694444444444443,818,78,148,5612,0,6514,1038,385,960,7730,1222,1016,960,1520
2020-08-17,0.8052373158756138,0.8152652005174644,0.08536585365853659,0.026658203744842908,900,84,168,6134,0,6564,1038,400,960,7730,1222,1001,960,1520
2020-08-18,0.8567921440261865,0.8800776196636482,0.07640878701050621,0.026017933264736146,967,80,177,6626,0,6707,1044,401,960,7730,1222,1000,960,1520
2020-08-19,0.8739770867430442,0.8886157826649418,0.07584269662921349,0.024894453341097685,987,81,171,6698,0,6730,1026,412,960,7730,1222,989,960,1520
2020-08-20,0.8788870703764321,0.8857697283311773,0.06983240223463687,0.02585073754929166,999,75,177,6670,0,6725,1049,434,960,7730,1222,967,960,1520
2020-08-21,0.8854337152209493,0.8796895213454075,0.07301293900184842,0.027647058823529413,1003,79,188,6612,0,6692,1046,432,960,7730,1222,969,960,1520
2020-08-22,0.8633387888707038,0.8247089262613195,0.07488151658767772,0.03215686274509804,976,79,205,6170,0,6619,1033,442,960,7730,1222,959,960,1520
2020-08-23,0.7545008183306056,0.7579560155239328,0.07809110629067245,0.03464755077658303,850,72,203,5656,0,6525,1019,448,960,7730,1222,953,960,1520
2020-08-24,0.8404255319148937,0.8190168175937904,0.08179162609542356,0.0358553151160954,943,84,227,6104,0,6572,1036,458,960,7730,1222,943,960,1520
2020-08-25,0.8576104746317512,0.8589909443725744,0.08206106870229007,0.03283132530120482,962,86,218,6422,0,6711,1048,464,960,7730,1222,937,960,1520
2020-08-26,0.869885433715221,0.9103492884864166,0.08560677328316087,0.030837004405286344,972,91,217,6820,0,6763,1051,454,960,7730,1222,949,960,1520
2020-08-27,0.8870703764320785,0.9032341526520051,0.07472324723247233,0.03208249785161845,1003,81,224,6758,0,6722,1055,444,960,7730,1222,959,960,1520
2020-08-28,0.8625204582651391,0.8639068564036223,0.08633776091081594,0.03339323150643905,963,91,223,6455,0,6700,1061,423,960,7730,1222,980,960,1520
2020-08-29,0.8404255319148937,0.8371280724450194,0.0827653359298929,0.03461597898315562,942,85,224,6247,0,6609,1053,418,960,7730,1222,985,960,1520
2020-08-30,0.8224222585924713,0.7855109961190169,0.07562189054726368,0.03573781291172595,929,76,217,5855,0,6524,1040,369,960,7730,1222,1034,960,1520
2020-08-31,0.8126022913256956,0.7661060802069858,0.08761329305135952,0.037149611617696726,906,87,220,5702,0,6528,1027,351,960,7730,1222,1052,960,1520
2020-09-01,0.8314238952536824,0.8304010349288486,0.08070866141732283,0.033494313756036766,934,82,215,6204,0,6661,1051,355,960,7730,1222,1048,960,1520
2020-09-02,0.8518821603927987,0.8667529107373868,0.08549471661863593,0.031044776119402984,952,89,208,6492,0,6700,1041,384,960,7730,1222,1019,960,1520
2020-09-03,0.8502454991816694,0.866882276843467,0.08277189605389798,0.02910013430831219,953,86,195,6506,0,6682,1032,418,960,7730,1222,985,960,1520
2020-09-04,0.8805237315875614,0.8522639068564036,0.07806691449814127,0.030358227079538554,992,84,200,6388,0,6716,1047,396,960,7730,1222,1007,960,1520
2020-09-05,0.8764320785597381,0.8064683053040104,0.08029878618113913,0.03208213025344883,985,86,200,6034,0,6629,1034,404,960,7730,1222,1003,960,1520
2020-09-06,0.8412438625204582,0.7721862871927555,0.08073929961089495,0.0326687887418328,945,83,195,5774,0,6530,1018,408,960,7730,1222,999,960,1520
2020-09-07,0.8379705400981997,0.7654592496765847,0.0830078125,0.03160385330403921,939,85,187,5730,0,6523,1032,419,960,7730,1222,988,960,1520
2020-09-08,0.837152209492635,0.7732212160413972,0.08504398826979472,0.030951982599966538,936,87,185,5792,0,6589,1039,413,960,7730,1222,994,960,1520
2020-09-09,0.8715220949263502,0.8843467011642949,0.07793427230046948,0.0232592159157402,982,83,159,6677,0,6686,1032,407,960,7730,1222,1000,960,1520
2020-09-10,0.8764320785597381,0.8800776196636482,0.08309990662931839,0.02572394531824195,982,89,175,6628,0,6714,1040,406,960,7730,1222,1001,960,1520
2020-09-11,0.8772504091653028,0.8729624838292367,0.07555970149253731,0.025637225844694723,991,81,173,6575,0,6733,1049,387,960,7730,1222,1020,960,1520
2020-09-12,0.853518821603928,0.8313268608414239,0.07861936720997123,0.02600436001245718,961,82,167,6255,0,6679,1046,356,960,7725,1222,1051,960,1520
2020-09-13,0.839607201309329,0.7937864077669903,0.08674463937621832,0.026418786692759294,937,89,162,5970,0,6633,1033,355,960,7725,1222,1062,960,1520
2020-09-14,0.8011456628477905,0.7887378640776699,0.08784473953013279,0.02888560643361234,893,86,176,5917,0,6684,1022,365,960,7725,1222,1052,960,1520
2020-09-15,0.8887070376432079,0.8561812297734628,0.0847145488029466,0.027063804052010886,994,92,179,6435,0,6772,1046,428,960,7725,1222,989,960,1520
2020-09-16,0.8829787234042553,0.8736569579288026,0.07877664504170528,0.02459623647947844,994,85,166,6583,0,6741,1026,417,960,7725,1222,1000,960,1520
2020-09-17,0.8870703764320785,0.8775404530744336,0.07564575645756458,0.0240448443723263,1002,82,163,6616,2,6795,1053,431,960,7725,1222,986,960,1520
2020-09-18,0.820785597381342,0.8473718364698248,0.07577268195413758,0.024965538367284424,927,76,163,6366,0,6772,1053,435,936,7705,1222,982,936,1520
2020-09-19,0.8633387888707038,0.8458144062297209,0.07582938388625593,0.028080405094368575,975,80,183,6334,0,6675,1050,397,936,7705,1222,1020,936,1520
2020-09-20,0.8273322422258592,0.7980532121998702,0.09000989119683482,0.030248820946495364,920,91,186,5963,0,6675,1050,397,936,7705,1222,1020,936,1520
2020-09-21,0.8346972176759411,0.7981829980532122,0.09607843137254903,0.03138211382113821,922,98,193,5957,0,6636,1029,410,936,7705,1222,1007,936,1520
2020-09-22,0.8289689034369886,0.8716417910447761,0.09970384995064166,0.032906491959499705,912,101,221,6495,7,6737,1055,409,936,7705,1222,1008,936,1520
2020-09-23,0.8788870703764321,0.9007138221933809,0.09590316573556797,0.03126801152737752,971,103,217,6723,5,6799,1061,405,936,7705,1222,1012,936,1520
2020-09-24,0.8919803600654664,0.9055158987670344,0.10091743119266056,0.035258707180736704,980,110,246,6731,6,6799,1062,399,936,7705,1222,1018,936,1520
2020-09-25,0.8788870703764321,0.8979883192731992,0.11266294227188083,0.03613238907356554,953,121,250,6669,6,6790,1057,405,936,7705,1222,1012,936,1520
2020-09-26,0.8829787234042553,0.882024659312135,0.11862835959221502,0.036786344908769864,951,128,250,6546,6,6722,1067,417,936,7705,1222,1000,936,1520
2020-09-27,0.869885433715221,0.835820895522388,0.12229539040451552,0.043788819875776396,933,130,282,6158,6,6709,1055,406,936,7705,1222,1011,936,1520
2020-09-28,0.855973813420622,0.8372485399091499,0.12332695984703633,0.046349403193303364,917,129,299,6152,8,6751,1063,432,936,7705,1222,985,936,1520
2020-09-29,0.8126022913256956,0.845425048669695,0.10171198388721048,0.04467301197420939,892,101,291,6223,8,6766,1060,437,936,7705,1222,980,936,1520
2020-09-30,0.8731587561374795,0.9075924724205061,0.10871602624179943,0.04361504361504361,951,116,305,6688,6,6797,1063,441,936,7705,1222,978,936,1520
2020-10-01,0.8690671031096563,0.9011031797534069,0.10263653483992467,0.04133659801238657,953,109,287,6656,4,6736,1056,393,936,7705,1222,1026,936,1520
2020-10-02,0.853518821603928,0.8955223880597015,0.1112176414189837,0.03797101449275362,927,116,262,6638,4,6779,1050,386,936,7705,1222,1033,936,1520
2020-10-03,0.8420621931260229,0.8617780661907852,0.11564625850340136,0.03569277108433735,910,119,237,6403,7,6658,1037,422,936,7705,1222,997,936,1520
2020-10-04,0.8036006546644845,0.8173913043478261,0.12321792260692464,0.03969514131470308,861,121,250,6048,6,6722,1039,417,936,7705,1222,1002,936,1520
2020-10-05,0.7978723404255319,0.8212848799480856,0.12717948717948718,0.04314159292035398,851,124,273,6055,6,6671,1050,456,936,7705,1222,963,936,1520
2020-10-06,0.867430441898527,0.8876054510058403,0.12735849056603774,0.04225764000584881,925,135,289,6550,6,6797,1073,480,936,7705,1222,939,936,1520
2020-10-07,0.8821603927986906,0.9035691109669046,0.12708719851576994,0.045245619074978455,941,137,315,6647,7,6845,1091,470,936,7705,1222,949,936,1520
2020-10-08,0.8919803600654664,0.9039584685269305,0.12018348623853212,0.047954055994257,959,131,334,6631,7,6815,1086,469,936,7705,1222,950,936,1520
2020-10-09,0.9108019639934534,0.9051265412070084,0.1275831087151842,0.04559793518784055,971,142,318,6656,8,6816,1096,472,936,7705,1222,947,936,1520
2020-10-10,0.8936170212765957,0.8757949383517196,0.1227106227106227,0.0457913455838767,958,134,309,6439,5,6760,1091,493,936,7705,1222,926,936,1520
2020-10-11,0.8461538461538461,0.8280337443218689,0.13829787234042554,0.05031347962382445,891,143,321,6059,10,6674,1084,487,936,7705,1222,932,936,1520
2020-10-12,0.8379705400981997,0.836340038935756,0.12890625,0.05307262569832402,892,132,342,6102,6,6667,1073,458,936,7705,1222,963,936,1520
2020-10-13,0.8551554828150573,0.90914990266061,0.12727272727272726,0.049393290506780874,912,133,346,6659,7,6757,1064,431,936,7705,1222,990,936,1520
2020-10-14,0.8126022913256956,0.8648929266709928,0.1148036253776435,0.04846938775510204,879,114,323,6341,7,6828,1048,436,936,7705,1222,985,936,1520
2020-10-15,0.8764320785597381,0.9113562621674237,0.1111111111111111,0.05084021646254629,952,119,357,6665,7,6856,1071,433,936,7705,1222,988,936,1520
2020-10-16,0.88379705400982,0.8807268007787151,0.1287037037037037,0.052313586796345415,941,139,355,6431,9,6833,1080,425,936,7705,1222,996,936,1520
2020-10-17,0.881342062193126,0.8384166125892277,0.12720519962859797,0.05557275541795666,940,137,359,6101,10,6649,1079,430,936,7705,1222,991,936,1520
2020-10-18,0.8445171849427169,0.8098637248539909,0.13178294573643412,0.06201923076923077,896,136,387,5853,10,6601,1069,431,936,7705,1222,992,936,1520
2020-10-19,0.8494271685761048,0.799610642439974,0.14739884393063585,0.06476221392631067,885,153,399,5762,11,6629,1070,481,936,7705,1222,950,936,1530
2020-10-20,0.8919803600654664,0.8608695652173913,0.14495412844036698,0.06196291270918137,932,158,411,6222,13,6747,1087,483,936,7705,1222,948,936,1530
2020-10-21,0.8715220949263502,0.8966904607397793,0.14460093896713616,0.060356057316543636,911,154,417,6492,15,6808,1070,497,936,7705,1222,934,936,1530
2020-10-22,0.8846153846153846,0.8992861778066191,0.14893617021276595,0.059315918602973014,920,161,411,6518,12,6771,1061,418,936,7705,1222,1013,936,1530
2020-10-23,0.8821603927986906,0.9013627514600908,0.14007421150278293,0.061195104391648665,927,151,425,6520,11,6752,1086,460,936,7705,1222,971,936,1530
2020-10-24,0.8812448812448812,0.8631524279407946,0.13011152416356878,0.06618531889290012,936,140,440,6208,11,6657,1074,461,936,7702,1221,972,936,1530
2020-10-25,0.8484848484848485,0.8291352895351857,0.14285714285714285,0.07156279361102412,888,148,457,5929,11,6613,1066,455,936,7702,1221,978,936,1530
2020-10-26,0.8181818181818182,0.8270579070371332,0.16616616616616617,0.07692307692307693,833,166,490,5880,11,6691,1063,448,936,7702,1221,985,936,1530
2020-10-27,0.8803278688524591,0.8905479096338613,0.15176908752327747,0.07391748068231521,911,163,507,6352,12,6817,1084,470,936,7702,1220,963,936,1530
2020-10-28,0.9180327868852459,0.9047000779018437,0.15535714285714286,0.0741963260619977,946,174,517,6451,12,6814,1098,423,936,7702,1220,1010,936,1530
2020-10-29,0.9188524590163935,0.9313165411581408,0.15700267618198038,0.0779311306287467,945,176,559,6614,14,6820,1096,431,936,7702,1220,1002,936,1530
2020-10-30,0.9426229508196722,0.9283303038171904,0.15391304347826087,0.08307692307692308,973,177,594,6556,14,6836,1099,442,936,7702,1220,991,936,1530
2020-10-31,0.9147540983606557,0.8941833290054532,0.16129032258064516,0.0881370698417308,936,180,607,6280,14,6828,1087,460,936,7702,1220,973,936,1530
