gender,doses,filed_date,report_date
Other,313,2021-09-16,2021-09-20
Male,2907105,2021-09-15,2021-09-17
Female,3364545,2021-09-15,2021-09-17
Unknown/Missing,57564,2021-09-15,2021-09-17
Other,313,2021-09-15,2021-09-17
Male,2902560,2021-09-14,2021-09-16
Female,3359721,2021-09-14,2021-09-16
Unknown/Missing,57613,2021-09-14,2021-09-16
Other,309,2021-09-14,2021-09-16
Female,3355627,2021-09-13,2021-09-15
Male,2898668,2021-09-13,2021-09-15
Unknown/Missing,57683,2021-09-13,2021-09-15
Other,308,2021-09-13,2021-09-15
Male,2895294,2021-09-12,2021-09-14
Female,3351839,2021-09-12,2021-09-14
Unknown/Missing,57665,2021-09-12,2021-09-14
Other,309,2021-09-12,2021-09-14
Male,2885259,2021-09-09,2021-09-13
Female,3341399,2021-09-09,2021-09-13
Unknown/Missing,57598,2021-09-09,2021-09-13
Other,311,2021-09-09,2021-09-13
Male,2880347,2021-09-08,2021-09-10
Female,3335911,2021-09-08,2021-09-10
Unknown/Missing,57642,2021-09-08,2021-09-10
Other,311,2021-09-08,2021-09-10
Male,2874794,2021-09-07,2021-09-09
Female,3330012,2021-09-07,2021-09-09
Unknown/Missing,57681,2021-09-07,2021-09-09
Other,311,2021-09-07,2021-09-09
Male,2871960,2021-09-06,2021-09-08
Female,3326522,2021-09-06,2021-09-08
Unknown/Missing,57714,2021-09-06,2021-09-08
Other,315,2021-09-06,2021-09-08
Unknown/Missing,57722,2021-09-02,2021-09-07
Female,3313172,2021-09-02,2021-09-07
Male,2858664,2021-09-02,2021-09-07
Other,318,2021-09-02,2021-09-07
Male,2852398,2021-09-01,2021-09-03
Female,3306380,2021-09-01,2021-09-03
Unknown/Missing,57708,2021-09-01,2021-09-03
Other,318,2021-09-01,2021-09-03
Male,2846141,2021-08-31,2021-09-02
Female,3299704,2021-08-31,2021-09-02
Unknown/Missing,57724,2021-08-31,2021-09-02
Other,319,2021-08-31,2021-09-02
Male,2839968,2021-08-30,2021-09-01
Female,3292916,2021-08-30,2021-09-01
Unknown/Missing,57794,2021-08-30,2021-09-01
Other,319,2021-08-30,2021-09-01
Male,2835425,2021-08-29,2021-08-31
Female,3288276,2021-08-29,2021-08-31
Unknown/Missing,57784,2021-08-29,2021-08-31
Other,321,2021-08-29,2021-08-31
Female,3276877,2021-08-26,2021-08-30
Male,2823647,2021-08-26,2021-08-30
Unknown/Missing,57799,2021-08-26,2021-08-30
Other,321,2021-08-26,2021-08-30
Female,3269908,2021-08-25,2021-08-27
Male,2817194,2021-08-25,2021-08-27
Unknown/Missing,57833,2021-08-25,2021-08-27
Other,320,2021-08-25,2021-08-27
Male,2810939,2021-08-24,2021-08-26
Female,3263515,2021-08-24,2021-08-26
Unknown/Missing,57849,2021-08-24,2021-08-26
Other,324,2021-08-24,2021-08-26
Male,2804969,2021-08-23,2021-08-25
Female,3257329,2021-08-23,2021-08-25
Unknown/Missing,57879,2021-08-23,2021-08-25
Other,323,2021-08-23,2021-08-25
Male,2800816,2021-08-22,2021-08-24
Female,3253082,2021-08-22,2021-08-24
Unknown/Missing,57865,2021-08-22,2021-08-24
Other,325,2021-08-22,2021-08-24
Male,2789261,2021-08-19,2021-08-23
Female,3241728,2021-08-19,2021-08-23
Unknown/Missing,57904,2021-08-19,2021-08-23
Other,324,2021-08-19,2021-08-23
Male,2782997,2021-08-18,2021-08-20
Female,3235394,2021-08-18,2021-08-20
Unknown/Missing,57927,2021-08-18,2021-08-20
Other,326,2021-08-18,2021-08-20
Male,2777507,2021-08-17,2021-08-19
Female,3229831,2021-08-17,2021-08-19
Unknown/Missing,57900,2021-08-17,2021-08-19
Other,325,2021-08-17,2021-08-19
Male,2771781,2021-08-16,2021-08-18
Female,3224181,2021-08-16,2021-08-18
Unknown/Missing,57898,2021-08-16,2021-08-18
Other,326,2021-08-16,2021-08-18
Male,2767070,2021-08-15,2021-08-17
Female,3219704,2021-08-15,2021-08-17
Unknown/Missing,57818,2021-08-15,2021-08-17
Other,323,2021-08-15,2021-08-17
Male,2755190,2021-08-12,2021-08-16
Female,3208641,2021-08-12,2021-08-16
Unknown/Missing,57864,2021-08-12,2021-08-16
Other,321,2021-08-12,2021-08-16
Male,2749742,2021-08-11,2021-08-13
Female,3203005,2021-08-11,2021-08-13
Unknown/Missing,57831,2021-08-11,2021-08-13
Other,324,2021-08-11,2021-08-13
Female,3198098,2021-08-10,2021-08-12
Male,2744709,2021-08-10,2021-08-12
Unknown/Missing,57843,2021-08-10,2021-08-12
Other,324,2021-08-10,2021-08-12
Female,3194706,2021-08-09,2021-08-11
Male,2741172,2021-08-09,2021-08-11
Unknown/Missing,57862,2021-08-09,2021-08-11
Other,324,2021-08-09,2021-08-11
Male,2737280,2021-08-08,2021-08-10
Female,3190752,2021-08-08,2021-08-10
Unknown/Missing,57847,2021-08-08,2021-08-10
Other,326,2021-08-08,2021-08-10
Female,3180779,2021-08-05,2021-08-09
Male,2725997,2021-08-05,2021-08-09
Unknown/Missing,57818,2021-08-05,2021-08-09
Other,324,2021-08-05,2021-08-09
Female,3175200,2021-08-04,2021-08-06
Male,2720139,2021-08-04,2021-08-06
Unknown/Missing,57823,2021-08-04,2021-08-06
Other,321,2021-08-04,2021-08-06
Male,2714457,2021-08-03,2021-08-05
Female,3169799,2021-08-03,2021-08-05
Unknown/Missing,57843,2021-08-03,2021-08-05
Other,321,2021-08-03,2021-08-05
Female,3164951,2021-08-02,2021-08-04
Male,2709267,2021-08-02,2021-08-04
Unknown/Missing,57758,2021-08-02,2021-08-04
Other,325,2021-08-02,2021-08-04
Female,3160763,2021-08-01,2021-08-03
Male,2705182,2021-08-01,2021-08-03
Unknown/Missing,57774,2021-08-01,2021-08-03
Other,321,2021-08-01,2021-08-03
Male,2695476,2021-07-29,2021-08-02
Female,3151889,2021-07-29,2021-08-02
Unknown/Missing,57799,2021-07-29,2021-08-02
Other,323,2021-07-29,2021-08-02
Female,3147246,2021-07-28,2021-07-30
Male,2690849,2021-07-28,2021-07-30
Unknown/Missing,57847,2021-07-28,2021-07-30
Other,327,2021-07-28,2021-07-30
Male,2686039,2021-07-27,2021-07-29
Female,3142548,2021-07-27,2021-07-29
Unknown/Missing,57882,2021-07-27,2021-07-29
Other,328,2021-07-27,2021-07-29
Male,2680487,2021-07-26,2021-07-28
Female,3137217,2021-07-26,2021-07-28
Unknown/Missing,57994,2021-07-26,2021-07-28
Other,331,2021-07-26,2021-07-28
Male,2677816,2021-07-25,2021-07-27
Female,3134593,2021-07-25,2021-07-27
Unknown/Missing,57967,2021-07-25,2021-07-27
Other,333,2021-07-25,2021-07-27
Female,3128137,2021-07-22,2021-07-26
Male,2670664,2021-07-22,2021-07-26
Unknown/Missing,57977,2021-07-22,2021-07-26
Other,334,2021-07-22,2021-07-26
Female,3124088,2021-07-21,2021-07-23
Male,2666456,2021-07-21,2021-07-23
Unknown/Missing,57999,2021-07-21,2021-07-23
Other,336,2021-07-21,2021-07-23
Female,3120111,2021-07-20,2021-07-22
Male,2662318,2021-07-20,2021-07-22
Unknown/Missing,58001,2021-07-20,2021-07-22
Other,338,2021-07-20,2021-07-22
Female,3117247,2021-07-19,2021-07-21
Male,2659273,2021-07-19,2021-07-21
Unknown/Missing,58053,2021-07-19,2021-07-21
Other,337,2021-07-19,2021-07-21
Male,2656371,2021-07-18,2021-07-20
Female,3114443,2021-07-18,2021-07-20
Unknown/Missing,58110,2021-07-18,2021-07-20
Other,339,2021-07-18,2021-07-20
Male,2650386,2021-07-15,2021-07-19
Female,3108671,2021-07-15,2021-07-19
Unknown/Missing,58128,2021-07-15,2021-07-19
Other,339,2021-07-15,2021-07-19
Female,3105097,2021-07-14,2021-07-16
Male,2646821,2021-07-14,2021-07-16
Unknown/Missing,58151,2021-07-14,2021-07-16
Other,338,2021-07-14,2021-07-16
Female,3095338,2021-07-12,2021-07-14
Male,2637294,2021-07-12,2021-07-14
Unknown/Missing,58349,2021-07-12,2021-07-14
Other,338,2021-07-12,2021-07-14
Female,3092680,2021-07-11,2021-07-13
Male,2634617,2021-07-11,2021-07-13
Unknown/Missing,58384,2021-07-11,2021-07-13
Other,339,2021-07-11,2021-07-13
Female,3086599,2021-07-08,2021-07-12
Male,2628464,2021-07-08,2021-07-12
Unknown/Missing,58360,2021-07-08,2021-07-12
Other,341,2021-07-08,2021-07-12
Male,2624395,2021-07-07,2021-07-09
Female,3082290,2021-07-07,2021-07-09
Unknown/Missing,58367,2021-07-07,2021-07-09
Other,340,2021-07-07,2021-07-09
Female,3078291,2021-07-06,2021-07-08
Unknown/Missing,58409,2021-07-06,2021-07-08
Male,2620525,2021-07-06,2021-07-08
Other,340,2021-07-06,2021-07-08
Male,2616474,2021-07-05,2021-07-07
Female,3074193,2021-07-05,2021-07-07
Unknown/Missing,58510,2021-07-05,2021-07-07
Other,342,2021-07-05,2021-07-07
Male,2612492,2021-07-02,2021-07-06
Female,3070553,2021-07-02,2021-07-06
Unknown/Missing,58519,2021-07-02,2021-07-06
Other,342,2021-07-02,2021-07-06
Female,3067103,2021-07-01,2021-07-03
Unknown/Missing,58540,2021-07-01,2021-07-03
Male,2608951,2021-07-01,2021-07-03
Other,341,2021-07-01,2021-07-03
Male,2604802,2021-06-30,2021-07-02
Female,3062663,2021-06-30,2021-07-02
Unknown/Missing,58589,2021-06-30,2021-07-02
Other,340,2021-06-30,2021-07-02
Male,2600276,2021-06-29,2021-07-01
Female,3057987,2021-06-29,2021-07-01
Unknown/Missing,58617,2021-06-29,2021-07-01
Other,340,2021-06-29,2021-07-01
Male,2592405,2021-06-28,2021-06-30
Female,3050057,2021-06-28,2021-06-30
Unknown/Missing,58589,2021-06-28,2021-06-30
Other,338,2021-06-28,2021-06-30
Male,2589092,2021-06-27,2021-06-29
Female,3046713,2021-06-27,2021-06-29
Unknown/Missing,58653,2021-06-27,2021-06-29
Other,338,2021-06-27,2021-06-29
Female,3045838,2021-06-26,2021-06-28
Male,2588044,2021-06-26,2021-06-28
Unknown/Missing,58640,2021-06-26,2021-06-28
Other,339,2021-06-26,2021-06-28
Female,3038246,2021-06-25,2021-06-27
Male,2579675,2021-06-25,2021-06-27
Unknown/Missing,58630,2021-06-25,2021-06-27
Other,339,2021-06-25,2021-06-27
Male,2572537,2021-06-24,2021-06-26
Female,3031100,2021-06-24,2021-06-26
Unknown/Missing,58658,2021-06-24,2021-06-26
Other,340,2021-06-24,2021-06-26
Male,2565670,2021-06-23,2021-06-25
Female,3024235,2021-06-23,2021-06-25
Unknown/Missing,58696,2021-06-23,2021-06-25
Other,340,2021-06-23,2021-06-25
Male,2560112,2021-06-22,2021-06-24
Female,3018619,2021-06-22,2021-06-24
Unknown/Missing,58691,2021-06-22,2021-06-24
Other,343,2021-06-22,2021-06-24
Male,2555546,2021-06-21,2021-06-23
Female,3014140,2021-06-21,2021-06-23
Unknown/Missing,58790,2021-06-21,2021-06-23
Other,350,2021-06-21,2021-06-23
Male,2552049,2021-06-20,2021-06-22
Female,3010742,2021-06-20,2021-06-22
Unknown/Missing,58874,2021-06-20,2021-06-22
Other,366,2021-06-20,2021-06-22
Male,2550368,2021-06-19,2021-06-21
Female,3009246,2021-06-19,2021-06-21
Unknown/Missing,58868,2021-06-19,2021-06-21
Other,366,2021-06-19,2021-06-21
Male,2545438,2021-06-18,2021-06-20
Female,3004706,2021-06-18,2021-06-20
Unknown/Missing,58827,2021-06-18,2021-06-20
Other,365,2021-06-18,2021-06-20
Male,2539280,2021-06-17,2021-06-19
Female,2998564,2021-06-17,2021-06-19
Unknown/Missing,58872,2021-06-17,2021-06-19
Other,365,2021-06-17,2021-06-19
Male,2529719,2021-06-16,2021-06-18
Female,2989097,2021-06-16,2021-06-18
Unknown/Missing,58893,2021-06-16,2021-06-18
Other,376,2021-06-16,2021-06-18
Male,2521665,2021-06-15,2021-06-17
Female,2980881,2021-06-15,2021-06-17
Unknown/Missing,58802,2021-06-15,2021-06-17
Other,381,2021-06-15,2021-06-17
Male,2513515,2021-06-14,2021-06-16
Female,2972589,2021-06-14,2021-06-16
Unknown/Missing,58738,2021-06-14,2021-06-16
Other,389,2021-06-14,2021-06-16
Female,2962323,2021-06-13,2021-06-15
Male,2502757,2021-06-13,2021-06-15
Unknown/Missing,58589,2021-06-13,2021-06-15
Other,388,2021-06-13,2021-06-15
Female,2960130,2021-06-12,2021-06-14
Male,2500429,2021-06-12,2021-06-14
Unknown/Missing,58598,2021-06-12,2021-06-14
Other,397,2021-06-12,2021-06-14
Male,2496179,2021-06-11,2021-06-13
Female,2956008,2021-06-11,2021-06-13
Unknown/Missing,58493,2021-06-11,2021-06-13
Other,397,2021-06-11,2021-06-13
Female,2945810,2021-06-10,2021-06-12
Male,2485926,2021-06-10,2021-06-12
Unknown/Missing,58444,2021-06-10,2021-06-12
Other,399,2021-06-10,2021-06-12
Female,2935052,2021-06-09,2021-06-11
Male,2474905,2021-06-09,2021-06-11
Unknown/Missing,58365,2021-06-09,2021-06-11
Other,405,2021-06-09,2021-06-11
Female,2922340,2021-06-08,2021-06-10
Male,2462278,2021-06-08,2021-06-10
Unknown/Missing,58263,2021-06-08,2021-06-10
Other,412,2021-06-08,2021-06-10
Female,2911960,2021-06-07,2021-06-09
Male,2452009,2021-06-07,2021-06-09
Unknown/Missing,58179,2021-06-07,2021-06-09
Other,417,2021-06-07,2021-06-09
Female,2903999,2021-06-06,2021-06-08
Male,2443946,2021-06-06,2021-06-08
Unknown/Missing,58001,2021-06-06,2021-06-08
Other,426,2021-06-06,2021-06-08
Male,2439947,2021-06-05,2021-06-07
Female,2900206,2021-06-05,2021-06-07
Unknown/Missing,57861,2021-06-05,2021-06-07
Other,424,2021-06-05,2021-06-07
Female,2891128,2021-06-04,2021-06-06
Male,2430572,2021-06-04,2021-06-06
Unknown/Missing,57732,2021-06-04,2021-06-06
Other,412,2021-06-04,2021-06-06
Female,2880743,2021-06-03,2021-06-05
Male,2419997,2021-06-03,2021-06-05
Unknown/Missing,57790,2021-06-03,2021-06-05
Other,414,2021-06-03,2021-06-05
Female,2870710,2021-06-02,2021-06-04
Male,2409658,2021-06-02,2021-06-04
Unknown/Missing,57703,2021-06-02,2021-06-04
Other,424,2021-06-02,2021-06-04
Male,2400289,2021-06-01,2021-06-03
Female,2861772,2021-06-01,2021-06-03
Unknown/Missing,57674,2021-06-01,2021-06-03
Other,427,2021-06-01,2021-06-03
Female,2855676,2021-05-31,2021-06-02
Male,2394090,2021-05-31,2021-06-02
Unknown/Missing,57601,2021-05-31,2021-06-02
Other,427,2021-05-31,2021-06-02
Female,2851751,2021-05-29,2021-06-01
Male,2389353,2021-05-29,2021-06-01
Unknown/Missing,57468,2021-05-29,2021-06-01
Other,425,2021-05-29,2021-06-01
Female,2847092,2021-05-28,2021-05-30
Male,2383879,2021-05-28,2021-05-30
Unknown/Missing,57438,2021-05-28,2021-05-30
Other,421,2021-05-28,2021-05-30
Female,2836510,2021-05-27,2021-05-29
Male,2372539,2021-05-27,2021-05-29
Unknown/Missing,57342,2021-05-27,2021-05-29
Other,420,2021-05-27,2021-05-29
Female,2823968,2021-05-26,2021-05-28
Male,2359191,2021-05-26,2021-05-28
Unknown/Missing,57254,2021-05-26,2021-05-28
Other,414,2021-05-26,2021-05-28
Female,2810216,2021-05-25,2021-05-27
Male,2344577,2021-05-25,2021-05-27
Unknown/Missing,57009,2021-05-25,2021-05-27
Other,413,2021-05-25,2021-05-27
Female,2795404,2021-05-24,2021-05-26
Male,2328501,2021-05-24,2021-05-26
Unknown/Missing,57056,2021-05-24,2021-05-26
Other,413,2021-05-24,2021-05-26
Female,2786609,2021-05-23,2021-05-25
Male,2319086,2021-05-23,2021-05-25
Unknown/Missing,56809,2021-05-23,2021-05-25
Other,420,2021-05-23,2021-05-25
Female,2782141,2021-05-22,2021-05-24
Male,2313741,2021-05-22,2021-05-24
Unknown/Missing,56702,2021-05-22,2021-05-24
Other,396,2021-05-22,2021-05-24
Female,2771022,2021-05-21,2021-05-23
Male,2300735,2021-05-21,2021-05-23
Unknown/Missing,56348,2021-05-21,2021-05-23
Other,374,2021-05-21,2021-05-23
Female,2753186,2021-05-20,2021-05-22
Male,2281329,2021-05-20,2021-05-22
Unknown/Missing,56126,2021-05-20,2021-05-22
Other,354,2021-05-20,2021-05-22
Female,2724502,2021-05-19,2021-05-21
Unknown/Missing,55829,2021-05-19,2021-05-21
Male,2250068,2021-05-19,2021-05-21
Other,349,2021-05-19,2021-05-21
Female,2702480,2021-05-18,2021-05-20
Male,2226520,2021-05-18,2021-05-20
Unknown/Missing,55208,2021-05-18,2021-05-20
Other,348,2021-05-18,2021-05-20
Female,2669227,2021-05-17,2021-05-19
Male,2192288,2021-05-17,2021-05-19
Unknown/Missing,53095,2021-05-17,2021-05-19
Other,339,2021-05-17,2021-05-19
Female,2655272,2021-05-16,2021-05-18
Male,2177134,2021-05-16,2021-05-18
Unknown/Missing,52937,2021-05-16,2021-05-18
Other,329,2021-05-16,2021-05-18
Female,2648587,2021-05-15,2021-05-17
Male,2169171,2021-05-15,2021-05-17
Unknown/Missing,52762,2021-05-15,2021-05-17
Other,318,2021-05-15,2021-05-17
Female,2636290,2021-05-14,2021-05-16
Male,2155920,2021-05-14,2021-05-16
Unknown/Missing,52630,2021-05-14,2021-05-16
Other,295,2021-05-14,2021-05-16
Male,2132264,2021-05-13,2021-05-15
Female,2614408,2021-05-13,2021-05-15
Unknown/Missing,52694,2021-05-13,2021-05-15
Other,285,2021-05-13,2021-05-15
Female,2593101,2021-05-12,2021-05-14
Male,2108914,2021-05-12,2021-05-14
Unknown/Missing,52132,2021-05-12,2021-05-14
Other,280,2021-05-12,2021-05-14
Female,2575399,2021-05-11,2021-05-13
Male,2088950,2021-05-11,2021-05-13
Unknown/Missing,51832,2021-05-11,2021-05-13
Other,274,2021-05-11,2021-05-13
Female,2556943,2021-05-10,2021-05-12
Male,2068269,2021-05-10,2021-05-12
Unknown/Missing,51478,2021-05-10,2021-05-12
Other,275,2021-05-10,2021-05-12
Male,2052296,2021-05-09,2021-05-11
Female,2542426,2021-05-09,2021-05-11
Unknown/Missing,50783,2021-05-09,2021-05-11
Other,277,2021-05-09,2021-05-11
Female,2533432,2021-05-08,2021-05-10
Male,2041396,2021-05-08,2021-05-10
Unknown/Missing,50097,2021-05-08,2021-05-10
Other,270,2021-05-08,2021-05-10
Female,2519757,2021-05-07,2021-05-09
Male,2025252,2021-05-07,2021-05-09
Unknown/Missing,49417,2021-05-07,2021-05-09
Other,267,2021-05-07,2021-05-09
Female,2499774,2021-05-06,2021-05-08
Male,2002970,2021-05-06,2021-05-08
Unknown/Missing,48750,2021-05-06,2021-05-08
Other,265,2021-05-06,2021-05-08
Male,1978469,2021-05-05,2021-05-07
Female,2476947,2021-05-05,2021-05-07
Unknown/Missing,48404,2021-05-05,2021-05-07
Other,258,2021-05-05,2021-05-07
Female,2454742,2021-05-04,2021-05-06
Male,1954430,2021-05-04,2021-05-06
Unknown/Missing,48297,2021-05-04,2021-05-06
Other,256,2021-05-04,2021-05-06
Female,2434622,2021-05-03,2021-05-05
Male,1933106,2021-05-03,2021-05-05
Unknown/Missing,48178,2021-05-03,2021-05-05
Other,257,2021-05-03,2021-05-05
Female,2422071,2021-05-02,2021-05-04
Male,1920691,2021-05-02,2021-05-04
Unknown/Missing,48041,2021-05-02,2021-05-04
Other,263,2021-05-02,2021-05-04
Male,1915040,2021-05-01,2021-05-03
Female,2416976,2021-05-01,2021-05-03
Unknown/Missing,47383,2021-05-01,2021-05-03
Other,255,2021-05-01,2021-05-03
Female,2407297,2021-04-30,2021-05-02
Male,1904040,2021-04-30,2021-05-02
Unknown/Missing,46635,2021-04-30,2021-05-02
Other,247,2021-04-30,2021-05-02
